German,stewart,3	
German,senna,3	
United States,clark,3	
Belgian,damon_hill,3	
Belgian,massa,1	
British,rosberg,1	
French,fagioli,1	
Belgian,nilsson,1	
Malaysian,ralf_schumacher,1	
Dutch,jack_brabham,2	
European,alonso,3	
Bahrain,rosberg,1	
San Marino,tambay,1	
Bahrain,massa,2	
Brazilian,button,1	
Australian,damon_hill,2	
Spanish,raikkonen,2	
Monaco,webber,2	
Brazilian,vettel,3	
British,siffert,1	
name,driverId_Ref,1	
Spanish,senna,2	
Austrian,peterson,2	
South African,stewart,2	
Austrian,ickx,1	
Canadian,laffite,1	
Monaco,michael_schumacher,5	
Hungarian,boutsen,1	
Spanish,hunt,1	
Canadian,emerson_fittipaldi,1	
Brazilian,mansell,2	
Belgian,rodriguez,1	
French,arnoux,1	
German,surtees,2	
Swiss,ascari,1	
Russian,bottas,1	
Spanish,fangio,1	
Italian,herbert,1	
Mexican,hamilton,1	
French,baghetti,1	
Monaco,hulme,1	
Hungarian,vettel,2	
Austrian,siffert,1	
Caesars Palace,alboreto,1	
Monaco,depailler,1	
Swiss,farina,1	
Argentine,mclaren,1	
Belgian,pironi,1	
Australian,senna,2	
Caesars Palace,jones,1	
Spanish,mario_andretti,2	
Luxembourg,villeneuve,1	
Monaco,mclaren,1	
Australian,coulthard,2	
French,prost,6	
French,ascari,1	
Austrian,laffite,1	
Swedish,hulme,1	
Swiss,keke_rosberg,1	
Italian,hamilton,4	
Mexican,patrese,1	
San Marino,coulthard,1	
Italian,damon_hill,2	
Luxembourg,hakkinen,1	
Belgian,gurney,1	
Monaco,hill,5	
Canadian,piquet,3	
Bahrain,button,1	
South African,jack_brabham,1	
Belgian,hakkinen,1	
Canadian,senna,2	
Spanish,hakkinen,3	
Belgian,surtees,1	
Mexican,prost,2	
San Marino,ralf_schumacher,1	
Monaco,gilles_villeneuve,1	
Mexican,ickx,1	
French,jabouille,1	
British,michael_schumacher,3	
Brazilian,emerson_fittipaldi,2	
Italian,farina,1	
Brazilian,michael_schumacher,4	
Detroit,senna,3	
Australian,boutsen,1	
Argentine,villeneuve,1	
Turkish,vettel,1	
Hungarian,button,2	
Belgian,mario_andretti,1	
South African,hulme,1	
San Marino,frentzen,1	
Belgian,collins,1	
British,vettel,1	
Italian,peterson,3	
United States,peterson,1	
Chinese,rosberg,2	
Italian,ascari,2	
Portuguese,coulthard,1	
Bahrain,vettel,3	
Belgian,phil_hill,1	
Italian,scheckter,1	
Brazilian,arnoux,1	
Turkish,button,1	
German,piquet,3	
Australian,irvine,1	
British,farina,1	
Hungarian,barrichello,1	
Indianapolis 500,bryan,1	
Belgian,reutemann,1	
Spanish,maldonado,1	
Austrian,hakkinen,2	
Spanish,mansell,3	
Swedish,laffite,1	
German,berger,2	
Canadian,hamilton,6	
Brazilian,raikkonen,1	
Moroccan,moss,1	
British,moss,2	
Italian,barrichello,3	
Turkish,hamilton,1	
South African,mansell,2	
Chinese,button,1	
Argentine,laffite,1	
United States,senna,2	
Brazilian,pace,1	
Bahrain,michael_schumacher,1	
Chinese,vettel,1	
Austrian,angelis,1	
Italian,hill,1	
Indianapolis 500,wallard,1	
British,montoya,1	
Japanese,michael_schumacher,6	
French,piquet,1	
German,brooks,2	
German,jack_brabham,1	
Dutch,prost,2	
Italian,coulthard,1	
Canadian,jones,2	
Korean,alonso,1	
Monaco,coulthard,2	
Russian,rosberg,1	
French,coulthard,1	
Austrian,bandini,1	
Indianapolis 500,sweikert,1	
