name,driverId_Ref
Australian,button
Malaysian,button
Chinese,vettel
Bahrain,button
Spanish,button
Monaco,button
Turkish,button
British,vettel
German,webber
Hungarian,hamilton
European,barrichello
Belgian,raikkonen
Italian,barrichello
Singapore,hamilton
Japanese,vettel
Brazilian,webber
Abu Dhabi,vettel
Australian,hamilton
Malaysian,raikkonen
Bahrain,massa
Spanish,raikkonen
Turkish,massa
Monaco,hamilton
Canadian,kubica
French,massa
British,hamilton
German,hamilton
Hungarian,kovalainen
European,massa
Belgian,massa
Italian,vettel
Singapore,alonso
Japanese,alonso
Chinese,hamilton
Brazilian,massa
Australian,raikkonen
Malaysian,alonso
Bahrain,massa
Spanish,massa
Monaco,alonso
Canadian,hamilton
United States,hamilton
French,raikkonen
British,raikkonen
European,alonso
Hungarian,hamilton
Turkish,massa
Italian,alonso
Belgian,raikkonen
Japanese,hamilton
Chinese,raikkonen
Brazilian,raikkonen
Bahrain,alonso
Malaysian,fisichella
Australian,alonso
San Marino,michael_schumacher
European,michael_schumacher
Spanish,alonso
Monaco,alonso
British,alonso
Canadian,alonso
United States,michael_schumacher
French,michael_schumacher
German,michael_schumacher
Hungarian,button
Turkish,massa
Italian,michael_schumacher
Chinese,michael_schumacher
Japanese,alonso
Brazilian,massa
Australian,fisichella
Malaysian,alonso
Bahrain,alonso
San Marino,alonso
Spanish,raikkonen
Monaco,raikkonen
European,alonso
Canadian,raikkonen
United States,michael_schumacher
French,alonso
British,montoya
German,alonso
Hungarian,raikkonen
Turkish,raikkonen
Italian,montoya
Belgian,raikkonen
Brazilian,montoya
Japanese,raikkonen
Chinese,alonso
Australian,michael_schumacher
Malaysian,michael_schumacher
Bahrain,michael_schumacher
San Marino,michael_schumacher
Spanish,michael_schumacher
Monaco,trulli
European,michael_schumacher
Canadian,michael_schumacher
United States,michael_schumacher
French,michael_schumacher
British,michael_schumacher
German,michael_schumacher
Hungarian,michael_schumacher
Belgian,raikkonen
Italian,barrichello
Chinese,barrichello
Japanese,michael_schumacher
Brazilian,montoya
Australian,coulthard
Malaysian,raikkonen
Brazilian,fisichella
San Marino,michael_schumacher
Spanish,michael_schumacher
Austrian,michael_schumacher
Monaco,montoya
Canadian,michael_schumacher
European,ralf_schumacher
French,ralf_schumacher
British,barrichello
German,montoya
Hungarian,alonso
Italian,michael_schumacher
United States,michael_schumacher
Japanese,barrichello
Australian,michael_schumacher
Malaysian,ralf_schumacher
Brazilian,michael_schumacher
San Marino,michael_schumacher
Spanish,michael_schumacher
Austrian,michael_schumacher
Monaco,coulthard
Canadian,michael_schumacher
European,barrichello
British,michael_schumacher
French,michael_schumacher
German,michael_schumacher
Hungarian,barrichello
Belgian,michael_schumacher
Italian,barrichello
United States,barrichello
Japanese,michael_schumacher
Australian,michael_schumacher
Malaysian,michael_schumacher
Brazilian,coulthard
San Marino,ralf_schumacher
Spanish,michael_schumacher
Austrian,coulthard
Monaco,michael_schumacher
Canadian,ralf_schumacher
European,michael_schumacher
French,michael_schumacher
British,hakkinen
German,ralf_schumacher
Hungarian,michael_schumacher
Belgian,michael_schumacher
Italian,montoya
United States,hakkinen
Japanese,michael_schumacher
Australian,michael_schumacher
Brazilian,michael_schumacher
San Marino,michael_schumacher
British,coulthard
Spanish,hakkinen
European,michael_schumacher
Monaco,coulthard
Canadian,michael_schumacher
French,coulthard
Austrian,hakkinen
German,barrichello
Hungarian,hakkinen
Belgian,hakkinen
Italian,michael_schumacher
United States,michael_schumacher
Japanese,michael_schumacher
Malaysian,michael_schumacher
Australian,irvine
Brazilian,hakkinen
San Marino,michael_schumacher
Monaco,michael_schumacher
Spanish,hakkinen
Canadian,hakkinen
French,frentzen
British,coulthard
Austrian,irvine
German,irvine
Hungarian,hakkinen
Belgian,coulthard
Italian,frentzen
European,herbert
Malaysian,irvine
Japanese,hakkinen
Australian,hakkinen
Brazilian,hakkinen
Argentine,michael_schumacher
San Marino,coulthard
Spanish,hakkinen
Monaco,hakkinen
Canadian,michael_schumacher
French,michael_schumacher
British,michael_schumacher
Austrian,hakkinen
German,hakkinen
Hungarian,michael_schumacher
Belgian,damon_hill
Italian,michael_schumacher
Luxembourg,hakkinen
Japanese,hakkinen
Australian,coulthard
Brazilian,villeneuve
Argentine,villeneuve
San Marino,frentzen
Monaco,michael_schumacher
Spanish,villeneuve
Canadian,michael_schumacher
French,michael_schumacher
British,villeneuve
German,berger
Hungarian,villeneuve
Belgian,michael_schumacher
Italian,coulthard
Austrian,villeneuve
Luxembourg,villeneuve
Japanese,michael_schumacher
European,hakkinen
Australian,damon_hill
Brazilian,damon_hill
Argentine,damon_hill
European,villeneuve
San Marino,damon_hill
Monaco,panis
Spanish,michael_schumacher
Canadian,damon_hill
French,damon_hill
British,villeneuve
German,damon_hill
Hungarian,villeneuve
Belgian,michael_schumacher
Italian,michael_schumacher
Portuguese,villeneuve
Japanese,damon_hill
Brazilian,michael_schumacher
Argentine,damon_hill
San Marino,damon_hill
Spanish,michael_schumacher
Monaco,michael_schumacher
Canadian,alesi
French,michael_schumacher
British,herbert
German,michael_schumacher
Hungarian,damon_hill
Belgian,michael_schumacher
Italian,herbert
Portuguese,coulthard
European,michael_schumacher
Pacific,michael_schumacher
Japanese,michael_schumacher
Australian,damon_hill
Brazilian,michael_schumacher
Pacific,michael_schumacher
San Marino,michael_schumacher
Monaco,michael_schumacher
Spanish,damon_hill
Canadian,michael_schumacher
French,michael_schumacher
British,damon_hill
German,berger
Hungarian,michael_schumacher
Belgian,damon_hill
Italian,damon_hill
Portuguese,damon_hill
European,michael_schumacher
Japanese,damon_hill
Australian,mansell
South African,prost
Brazilian,senna
European,senna
San Marino,prost
Spanish,prost
Monaco,senna
Canadian,prost
French,prost
British,prost
German,prost
Hungarian,damon_hill
Belgian,damon_hill
Italian,damon_hill
Portuguese,michael_schumacher
Japanese,senna
Australian,senna
South African,mansell
Mexican,mansell
Brazilian,mansell
Spanish,mansell
San Marino,mansell
Monaco,senna
Canadian,berger
French,mansell
British,mansell
German,mansell
Hungarian,senna
Belgian,michael_schumacher
Italian,senna
Portuguese,mansell
Japanese,patrese
Australian,berger
United States,senna
Brazilian,senna
San Marino,senna
Monaco,senna
Canadian,piquet
Mexican,patrese
French,mansell
British,mansell
German,mansell
Hungarian,senna
Belgian,senna
Italian,mansell
Portuguese,patrese
Spanish,mansell
Japanese,berger
Australian,senna
United States,senna
Brazilian,prost
San Marino,patrese
Monaco,senna
Canadian,senna
Mexican,prost
French,prost
British,prost
German,senna
Hungarian,boutsen
Belgian,senna
Italian,senna
Portuguese,mansell
Spanish,prost
Japanese,piquet
Australian,piquet
Bahrain,alonso
Australian,button
Malaysian,vettel
Chinese,button
Spanish,webber
Monaco,webber
Turkish,hamilton
Canadian,hamilton
European,vettel
British,webber
German,alonso
Hungarian,webber
Belgian,hamilton
Italian,alonso
Singapore,alonso
Japanese,vettel
Korean,alonso
Brazilian,vettel
Abu Dhabi,vettel
Brazilian,mansell
San Marino,senna
Monaco,senna
Mexican,senna
United States,prost
Canadian,boutsen
French,prost
British,prost
German,senna
Hungarian,mansell
Belgian,senna
Italian,prost
Portuguese,berger
Spanish,senna
Japanese,nannini
Australian,boutsen
Brazilian,prost
San Marino,senna
Monaco,prost
Mexican,prost
Canadian,senna
Detroit,senna
French,prost
British,senna
German,senna
Hungarian,senna
Belgian,senna
Italian,berger
Portuguese,prost
Spanish,prost
Japanese,senna
Australian,prost
Brazilian,prost
San Marino,mansell
Belgian,prost
Monaco,senna
Detroit,senna
French,mansell
British,mansell
German,piquet
Hungarian,piquet
Austrian,mansell
Italian,piquet
Portuguese,prost
Spanish,mansell
Mexican,mansell
Japanese,berger
Australian,berger
Brazilian,piquet
Spanish,senna
San Marino,prost
Monaco,prost
Belgian,mansell
Canadian,mansell
Detroit,senna
French,mansell
British,mansell
German,piquet
Hungarian,piquet
Austrian,prost
Italian,piquet
Portuguese,mansell
Mexican,berger
Australian,prost
Brazilian,prost
Portuguese,senna
San Marino,angelis
Monaco,prost
Canadian,alboreto
Detroit,keke_rosberg
French,piquet
British,prost
German,alboreto
Austrian,prost
Dutch,lauda
Italian,prost
Belgian,senna
European,mansell
South African,mansell
Australian,keke_rosberg
Brazilian,prost
South African,lauda
Belgian,alboreto
San Marino,prost
French,lauda
Monaco,prost
Canadian,piquet
Detroit,piquet
Dallas,keke_rosberg
British,lauda
German,prost
Austrian,lauda
Dutch,prost
Italian,lauda
European,prost
Portuguese,prost
Brazilian,piquet
United States,watson
French,prost
San Marino,tambay
Monaco,keke_rosberg
Belgian,prost
