raceId,driverId,driver_ref,stop,lap,time,duration,milliseconds,year,nationality
841,153,alguersuari,1,1,17:05:23,26.898,26898,2011,Spanish
841,30,michael_schumacher,1,1,17:05:52,25.021,25021,2011,German
841,17,webber,1,11,17:20:48,23.426,23426,2011,Australian
841,4,alonso,1,12,17:22:34,23.251,23251,2011,Spanish
841,13,massa,1,13,17:24:10,23.842,23842,2011,Brazilian
841,22,barrichello,1,13,17:24:29,23.643,23643,2011,Brazilian
841,20,vettel,1,14,17:25:17,22.603,22603,2011,German
841,814,resta,1,14,17:26:03,24.863,24863,2011,British
841,816,ambrosio,1,14,17:26:50,25.259,25259,2011,Belgian
841,67,buemi,1,15,17:27:34,25.342,25342,2011,Swiss
841,2,heidfeld,1,15,17:27:41,22.994,22994,2011,German
841,1,hamilton,1,16,17:28:24,23.227,23227,2011,British
841,808,petrov,1,16,17:28:39,24.535,24535,2011,Russian
841,3,rosberg,1,16,17:29:00,23.716,23716,2011,German
841,155,kobayashi,1,16,17:29:06,24.064,24064,2011,Japanese
841,16,sutil,1,16,17:29:08,25.978,25978,2011,German
841,15,trulli,1,16,17:29:49,24.899,24899,2011,Italian
841,18,button,1,17,17:30:24,16.867,16867,2011,British
841,153,alguersuari,2,17,17:31:06,24.463,24463,2011,Spanish
841,5,kovalainen,1,17,17:31:11,24.865,24865,2011,Finnish
841,30,michael_schumacher,2,17,17:32:08,23.988,23988,2011,German
841,10,glock,1,18,17:33:02,23.792,23792,2011,German
841,18,button,2,19,17:33:53,23.303,23303,2011,British
841,815,perez,1,23,17:40:27,23.438,23438,2011,Mexican
841,22,barrichello,2,23,17:40:45,37.856,37856,2011,Brazilian
841,17,webber,2,26,17:44:29,22.52,22520,2011,Australian
841,4,alonso,2,27,17:46:04,24.733,24733,2011,Spanish
841,22,barrichello,3,28,17:49:07,16.892,16892,2011,Brazilian
841,67,buemi,2,29,17:49:47,23.1,23100,2011,Swiss
841,2,heidfeld,2,30,17:51:32,25.098,25098,2011,German
841,13,massa,2,31,17:52:28,24.5,24500,2011,Brazilian
841,155,kobayashi,2,32,17:54:21,24.192,24192,2011,Japanese
841,20,vettel,2,36,17:59:17,24.036,24036,2011,German
841,1,hamilton,2,36,17:59:29,23.199,23199,2011,British
841,153,alguersuari,3,35,17:59:45,26.348,26348,2011,Spanish
841,808,petrov,2,36,17:59:47,25.683,25683,2011,Russian
841,814,resta,2,36,18:00:48,24.332,24332,2011,British
841,18,button,3,37,18:01:49,22.681,22681,2011,British
841,16,sutil,2,37,18:02:15,23.871,23871,2011,German
841,15,trulli,2,37,18:03:55,24.848,24848,2011,Italian
841,816,ambrosio,2,38,18:06:53,26.446,26446,2011,Belgian
841,17,webber,3,41,18:07:37,26.23,26230,2011,Australian
841,22,barrichello,4,40,18:08:03,26.309,26309,2011,Brazilian
841,4,alonso,3,42,18:09:08,24.181,24181,2011,Spanish
841,13,massa,3,48,18:18:54,24.095,24095,2011,Brazilian
842,16,sutil,1,3,16:09:07,31.694,31694,2011,German
842,22,barrichello,1,3,16:10:04,32.978,32978,2011,Brazilian
842,17,webber,1,10,16:21:21,22.572,22572,2011,Australian
842,814,resta,1,11,16:23:16,22.773,22773,2011,British
842,1,hamilton,1,12,16:24:40,22.552,22552,2011,British
842,20,vettel,1,13,16:26:17,23.019,23019,2011,German
