qualifyId,raceId,driverId,driver_ref,constructorId,constructor_ref,number,position,q1,q2,q3,q1_ms,q2_ms,q3_ms,,
1,18,1,hamilton,1,mclaren,22,1,01:27.0,01:25.2,01:26.7,87000,85187,86714,,
2,18,9,kubica,2,bmw_sauber,4,2,01:26.1,01:25.3,01:26.9,86103,85315,86869,,
3,18,5,kovalainen,1,mclaren,23,3,01:25.7,01:25.5,01:27.1,85664,85452,87079,,
4,18,13,massa,6,ferrari,2,4,01:26.0,01:25.7,01:27.2,85994,85691,87178,,
5,18,2,heidfeld,2,bmw_sauber,3,5,01:26.0,01:25.5,01:27.2,85960,85518,87236,,
6,18,15,trulli,7,toyota,11,6,01:26.4,01:26.1,01:28.5,86427,86101,88527,,
7,18,3,rosberg,3,williams,7,7,01:26.3,01:26.1,01:28.7,86295,86059,88687,,
8,18,14,coulthard,9,red_bull,9,8,01:26.4,01:26.1,01:29.0,86381,86063,89041,,
9,18,10,glock,7,toyota,12,9,01:26.9,01:26.2,01:29.6,86919,86164,89593,,
10,18,20,vettel,5,toro_rosso,15,10,01:26.7,01:25.8,NULL,86702,85842,0,,
11,18,22,barrichello,11,honda,17,11,01:26.4,01:26.2,NULL,86369,86173,0,,
12,18,4,alonso,4,renault,5,12,01:26.9,01:26.2,NULL,86907,86188,0,,
13,18,18,button,11,honda,16,13,01:26.7,01:26.3,NULL,86712,86259,0,,
14,18,6,nakajima,3,williams,8,14,01:26.9,01:26.4,NULL,86891,86413,0,,
15,18,17,webber,9,red_bull,10,15,01:26.9,,NULL,86914,0,0,,
16,18,8,raikkonen,6,ferrari,1,16,01:26.1,,NULL,86140,0,0,,
17,18,21,fisichella,10,force_india,21,17,01:27.2,,NULL,87207,0,0,,
18,18,7,bourdais,5,toro_rosso,14,18,01:27.4,,NULL,87446,0,0,,
19,18,16,sutil,10,force_india,20,19,01:27.9,,NULL,87859,0,0,,
20,18,11,sato,8,super_aguri,18,20,01:28.2,,NULL,88208,0,0,,
21,18,12,piquet_jr,4,renault,6,21,01:28.3,,NULL,88330,0,0,,
22,18,19,davidson,8,super_aguri,19,22,01:29.1,,NULL,89059,0,0,,
23,19,13,massa,6,ferrari,2,1,01:35.3,01:34.4,01:35.7,95347,94412,95748,,
24,19,8,raikkonen,6,ferrari,1,2,01:35.6,01:34.2,01:36.2,95645,94188,96230,,
25,19,5,kovalainen,1,mclaren,23,3,01:35.2,01:34.8,01:36.6,95227,94759,96613,,
26,19,1,hamilton,1,mclaren,22,4,01:35.4,01:34.6,01:36.7,95392,94627,96709,,
27,19,15,trulli,7,toyota,11,5,01:35.2,01:35.0,01:36.7,95205,94960,96711,,
28,19,9,kubica,2,bmw_sauber,4,6,01:35.8,01:34.8,01:36.7,95794,94811,96727,,
29,19,2,heidfeld,2,bmw_sauber,3,7,01:35.7,01:34.6,01:36.8,95729,94648,96753,,
30,19,17,webber,9,red_bull,10,8,01:35.4,01:35.0,01:37.0,95440,94967,97009,,
31,19,4,alonso,4,renault,5,9,01:36.0,01:35.1,01:38.5,95983,95140,98450,,
32,19,10,glock,7,toyota,12,10,01:35.9,01:35.0,01:39.7,95891,95000,99656,,
33,19,18,button,11,honda,16,11,01:35.8,01:35.2,NULL,95847,95208,0,,
34,19,14,coulthard,9,red_bull,9,12,01:36.1,01:35.4,NULL,96058,95408,0,,
35,19,12,piquet_jr,4,renault,6,13,01:36.1,01:35.6,NULL,96074,95562,0,,
36,19,22,barrichello,11,honda,17,14,01:36.2,01:35.6,NULL,96198,95622,0,,
37,19,20,vettel,5,toro_rosso,15,15,01:36.1,01:35.6,NULL,96111,95648,0,,
38,19,3,rosberg,3,williams,7,16,01:35.8,01:35.7,NULL,95843,95670,0,,
39,19,21,fisichella,10,force_india,21,17,01:36.2,,NULL,96240,0,0,,
40,19,6,nakajima,3,williams,8,18,01:36.4,,NULL,96388,0,0,,
41,19,7,bourdais,5,toro_rosso,14,19,01:36.7,,NULL,96677,0,0,,
42,19,11,sato,8,super_aguri,18,20,01:37.1,,NULL,97087,0,0,,
43,19,16,sutil,10,force_india,20,21,01:37.1,,NULL,97101,0,0,,
44,19,19,davidson,8,super_aguri,19,22,01:37.5,,NULL,97481,0,0,,
45,20,9,kubica,2,bmw_sauber,4,1,01:32.9,01:31.7,01:33.1,92893,91745,93096,,
46,20,13,massa,6,ferrari,2,2,01:31.9,01:31.2,01:33.1,91937,91188,93123,,
47,20,1,hamilton,1,mclaren,22,3,01:32.7,01:31.9,01:33.3,92750,91922,93292,,
48,20,8,raikkonen,6,ferrari,1,4,01:32.7,01:31.9,01:33.4,92652,91933,93418,,
49,20,5,kovalainen,1,mclaren,23,5,01:33.1,01:31.7,01:33.5,93057,91718,93488,,
50,20,2,heidfeld,2,bmw_sauber,3,6,01:33.1,01:31.9,01:33.7,93137,91909,93737,,
51,20,15,trulli,7,toyota,11,7,01:32.5,01:32.2,01:34.0,92493,92159,93994,,
52,20,3,rosberg,3,williams,7,8,01:32.9,01:32.2,01:34.0,92903,92185,94015,,
53,20,18,button,11,honda,16,9,01:32.8,01:32.4,01:35.1,92793,92362,95057,,
54,20,4,alonso,4,renault,5,10,01:32.9,01:32.3,01:35.1,92947,92345,95115,,
55,20,17,webber,9,red_bull,10,11,01:33.2,01:32.4,NULL,93194,92371,0,,
56,20,22,barrichello,11,honda,17,12,01:32.9,01:32.5,NULL,92944,92508,0,,
57,20,10,glock,7,toyota,12,13,01:32.8,01:32.5,NULL,92800,92528,0,,
58,20,12,piquet_jr,4,renault,6,14,01:33.0,01:32.8,NULL,92975,92790,0,,
59,20,7,bourdais,5,toro_rosso,14,15,01:33.4,01:32.9,NULL,93415,92915,0,,
60,20,6,nakajima,3,williams,8,16,01:33.4,01:32.9,NULL,93386,92943,0,,
61,20,14,coulthard,9,red_bull,9,17,01:33.4,,NULL,93433,0,0,,
62,20,21,fisichella,10,force_india,21,18,01:33.5,,NULL,93501,0,0,,
63,20,20,vettel,5,toro_rosso,15,19,01:34.1,,NULL,94127,0,0,,
64,20,16,sutil,10,force_india,20,20,01:33.6,,NULL,93562,0,0,,
65,20,19,davidson,8,super_aguri,19,21,01:34.1,,NULL,94140,0,0,,
66,20,11,sato,8,super_aguri,18,22,01:35.7,,NULL,95725,0,0,,
67,21,8,raikkonen,6,ferrari,1,1,01:20.7,01:20.8,01:21.8,80701,80784,81813,,
68,21,4,alonso,4,renault,5,2,01:21.3,01:20.8,01:21.9,81347,80804,81904,,
69,21,13,massa,6,ferrari,2,3,01:21.5,01:20.6,01:22.1,81528,80584,82058,,
70,21,9,kubica,2,bmw_sauber,4,4,01:21.4,01:20.6,01:22.1,81423,80597,82065,,
71,21,1,hamilton,1,mclaren,22,5,01:21.4,01:20.8,01:22.1,81366,80825,82096,,
