raceId,year,round,circuitId,name,date,time,url,circuit_ref,country
1,2009,1,1,Australian Grand Prix,3/29/2009,6:00:00,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,albert_park,Australia
2,2009,2,2,Malaysian Grand Prix,4/5/2009,9:00:00,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,sepang,Malaysia
3,2009,3,17,Chinese Grand Prix,4/19/2009,7:00:00,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,shanghai,Bahrain
4,2009,4,3,Bahrain Grand Prix,4/26/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix,bahrain,Spain
5,2009,5,4,Spanish Grand Prix,5/10/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix,catalunya,Turkey
6,2009,6,6,Monaco Grand Prix,5/24/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix,monaco,Monaco
7,2009,7,5,Turkish Grand Prix,6/7/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix,istanbul,Canada
8,2009,8,9,British Grand Prix,6/21/2009,12:00:00,http://en.wikipedia.org/wiki/2009_British_Grand_Prix,silverstone,France
9,2009,9,20,German Grand Prix,7/12/2009,12:00:00,http://en.wikipedia.org/wiki/2009_German_Grand_Prix,nurburgring,UK
10,2009,10,11,Hungarian Grand Prix,7/26/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Hungarian_Grand_Prix,hungaroring,Germany
11,2009,11,12,European Grand Prix,8/23/2009,12:00:00,http://en.wikipedia.org/wiki/2009_European_Grand_Prix,valencia,Hungary
12,2009,12,13,Belgian Grand Prix,8/30/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Belgian_Grand_Prix,spa,Spain
13,2009,13,14,Italian Grand Prix,9/13/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Italian_Grand_Prix,monza,Belgium
14,2009,14,15,Singapore Grand Prix,9/27/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Singapore_Grand_Prix,marina_bay,Italy
15,2009,15,22,Japanese Grand Prix,10/4/2009,5:00:00,http://en.wikipedia.org/wiki/2009_Japanese_Grand_Prix,suzuka,Singapore
16,2009,16,18,Brazilian Grand Prix,10/18/2009,16:00:00,http://en.wikipedia.org/wiki/2009_Brazilian_Grand_Prix,interlagos,Japan
17,2009,17,24,Abu Dhabi Grand Prix,11/1/2009,11:00:00,http://en.wikipedia.org/wiki/2009_Abu_Dhabi_Grand_Prix,yas_marina,China
18,2008,1,1,Australian Grand Prix,3/16/2008,4:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,albert_park,Brazil
19,2008,2,2,Malaysian Grand Prix,3/23/2008,7:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,sepang,USA
20,2008,3,3,Bahrain Grand Prix,4/6/2008,11:30:00,http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix,bahrain,Germany
21,2008,4,4,Spanish Grand Prix,4/27/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix,catalunya,Italy
22,2008,5,5,Turkish Grand Prix,5/11/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix,istanbul,Japan
23,2008,6,6,Monaco Grand Prix,5/25/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix,monaco,Austria
24,2008,7,7,Canadian Grand Prix,6/8/2008,17:00:00,http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix,villeneuve,UAE
25,2008,8,8,French Grand Prix,6/22/2008,12:00:00,http://en.wikipedia.org/wiki/2008_French_Grand_Prix,magny_cours,Argentina
26,2008,9,9,British Grand Prix,7/6/2008,12:00:00,http://en.wikipedia.org/wiki/2008_British_Grand_Prix,silverstone,Spain
27,2008,10,10,German Grand Prix,7/20/2008,12:00:00,http://en.wikipedia.org/wiki/2008_German_Grand_Prix,hockenheimring,Portugal
28,2008,11,11,Hungarian Grand Prix,8/3/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Hungarian_Grand_Prix,hungaroring,Japan
29,2008,12,12,European Grand Prix,8/24/2008,12:00:00,http://en.wikipedia.org/wiki/2008_European_Grand_Prix,valencia,Australia
30,2008,13,13,Belgian Grand Prix,9/7/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Belgian_Grand_Prix,spa,South Africa
31,2008,14,14,Italian Grand Prix,9/14/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Italian_Grand_Prix,monza,UK
32,2008,15,15,Singapore Grand Prix,9/28/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Singapore_Grand_Prix,marina_bay,Mexico
