,resultId,raceId,driverId,driverId_Ref,constructorId,constructorId_Ref,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapTime_ms,fastestLapSpeed,statusId,statusId_name
0,1,18,1,hamilton,1,mclaren,22.0,1,1.0,1,1,10.0,58,34:50.6,5690616.0,39.0,2.0,01:27.5,87500,218.3,1,Finished
22,23,19,8,raikkonen,6,ferrari,1.0,2,1.0,1,1,10.0,56,31:18.6,5478555.0,37.0,2.0,01:35.4,95400,209.158,1,Finished
44,45,20,13,massa,6,ferrari,2.0,2,1.0,1,1,10.0,57,31:07.0,5466970.0,38.0,3.0,01:33.6,93600,208.153,1,Finished
66,67,21,8,raikkonen,6,ferrari,1.0,1,1.0,1,1,10.0,66,38:19.1,5899051.0,46.0,1.0,01:21.7,81700,205.191,1,Finished
88,89,22,13,massa,6,ferrari,2.0,1,1.0,1,1,10.0,58,26:49.5,5209451.0,16.0,3.0,01:26.7,86700,221.734,1,Finished
108,109,23,1,hamilton,1,mclaren,22.0,3,1.0,1,1,10.0,76,00:42.7,7242742.0,71.0,6.0,01:18.5,78500,153.152,1,Finished
128,129,24,9,kubica,2,bmw_sauber,4.0,2,1.0,1,1,10.0,70,36:24.2,5784227.0,47.0,4.0,01:17.5,77500,202.473,1,Finished
148,149,25,13,massa,6,ferrari,2.0,2,1.0,1,1,10.0,70,31:50.2,5510245.0,20.0,2.0,01:16.7,76700,206.956,1,Finished
168,169,26,1,hamilton,1,mclaren,22.0,4,1.0,1,1,10.0,60,39:09.4,5949440.0,16.0,3.0,01:32.8,92800,199.398,1,Finished
188,189,27,1,hamilton,1,mclaren,22.0,1,1.0,1,1,10.0,67,31:20.9,5480874.0,17.0,2.0,01:16.0,76000,216.552,1,Finished
208,209,28,5,kovalainen,1,mclaren,23.0,2,1.0,1,1,10.0,70,37:27.1,5847067.0,19.0,7.0,01:21.8,81800,192.917,1,Finished
228,229,29,13,massa,6,ferrari,2.0,1,1.0,1,1,10.0,57,35:32.3,5732339.0,36.0,1.0,01:38.7,98700,197.637,1,Finished
248,249,30,13,massa,6,ferrari,2.0,2,1.0,1,1,10.0,44,22:59.4,4979394.0,26.0,3.0,01:48.2,108200,232.987,1,Finished
268,269,31,20,vettel,5,toro_rosso,15.0,1,1.0,1,1,10.0,53,26:47.5,5207494.0,53.0,14.0,01:30.5,90500,230.414,1,Finished
288,289,32,4,alonso,4,renault,5.0,15,1.0,1,1,10.0,61,57:16.3,7036304.0,55.0,3.0,01:45.8,105800,172.464,1,Finished
308,309,33,4,alonso,4,renault,5.0,4,1.0,1,1,10.0,67,30:21.9,5421892.0,41.0,3.0,01:19.1,79100,207.668,1,Finished
328,329,34,1,hamilton,1,mclaren,22.0,1,1.0,1,1,10.0,56,31:57.4,5517403.0,13.0,1.0,01:36.3,96300,203.722,1,Finished
348,349,35,13,massa,6,ferrari,2.0,1,1.0,1,1,10.0,71,34:11.4,5651435.0,36.0,1.0,01:13.7,73700,210.377,1,Finished
368,369,36,8,raikkonen,6,ferrari,6.0,1,1.0,1,1,10.0,58,25:28.8,5128770.0,41.0,1.0,01:25.2,85200,223.978,1,Finished
